,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Seat Comfort,Value For Money,Recommended
410,0.75,0.75,0.25,0.75,0.25,0.25,0
411,1.0,1.0,0.75,0.75,1.0,0.75,1
412,1.0,0.75,0.75,0.0,0.75,0.0,0
413,1.0,0.75,1.0,0.25,1.0,0.75,1
414,0.5,0.25,1.0,0.5,0.25,0.25,0
415,1.0,0.75,0.75,0.75,0.5,1.0,1
416,0.25,0.0,0.0,0.0,0.0,0.0,0
417,0.25,0.25,0.5,0.5,0.0,0.0,0
418,0.0,0.0,0.0,0.0,0.0,0.0,0
419,0.5,0.25,0.5,0.25,0.75,0.5,1
420,0.5,0.25,0.5,0.0,0.5,0.25,0
421,0.0,0.0,0.5,0.0,0.25,0.5,0
422,0.25,0.5,0.25,0.0,0.0,0.0,0
423,0.75,0.75,0.75,0.5,0.75,1.0,1
424,0.0,0.25,0.25,0.5,0.0,0.0,0
425,1.0,0.75,1.0,0.75,1.0,1.0,1
426,0.25,0.25,0.0,0.5,0.5,0.25,0
427,0.5,0.5,0.25,0.25,0.0,0.0,0
428,0.25,0.0,0.75,0.0,0.25,0.25,0
429,1.0,0.5,0.5,0.25,0.75,0.5,1
430,0.0,0.0,0.5,0.0,0.0,0.5,0
431,1.0,0.5,0.0,0.25,0.0,0.25,0
432,0.0,0.0,0.0,0.0,0.0,0.0,0
433,1.0,1.0,0.75,0.75,1.0,1.0,1
434,1.0,1.0,0.75,0.75,1.0,1.0,1
435,0.75,0.5,1.0,0.5,0.5,0.75,1
436,0.75,0.75,0.0,0.5,0.75,0.5,0
437,0.0,0.0,0.5,0.0,0.0,0.0,0
438,1.0,1.0,0.5,0.75,1.0,1.0,1
439,0.75,0.5,0.75,0.5,0.75,0.5,1
440,0.75,0.25,0.0,0.5,0.5,0.5,0
441,1.0,1.0,0.75,0.5,0.75,0.75,1
442,1.0,1.0,0.75,0.25,0.5,0.75,1
443,1.0,1.0,1.0,0.75,0.75,1.0,1
444,0.5,0.25,0.75,0.0,0.5,0.25,0
445,1.0,0.5,0.75,1.0,1.0,0.5,1
446,0.5,0.25,0.25,0.0,0.0,0.5,0
447,1.0,1.0,1.0,0.75,1.0,1.0,1
448,0.0,0.0,0.75,0.5,0.5,0.5,0
449,0.0,0.0,0.0,0.0,0.0,0.0,0
450,0.5,0.5,0.0,0.5,0.75,0.0,0
451,1.0,0.25,0.75,0.25,0.5,0.5,1
452,1.0,0.75,0.75,0.0,0.75,0.75,0
453,1.0,0.25,0.25,0.25,0.25,0.25,0
454,1.0,0.75,0.75,0.75,0.75,1.0,1
455,0.75,0.75,0.75,0.25,0.75,0.75,0
456,0.0,0.0,0.0,0.75,0.5,0.5,0
457,1.0,1.0,0.0,0.5,0.5,0.25,0
458,1.0,0.75,1.0,1.0,0.75,0.75,1
459,1.0,0.75,0.0,1.0,0.75,1.0,0
460,0.5,0.0,0.75,0.75,0.75,0.25,1
461,0.75,0.75,0.75,1.0,0.25,0.5,1
462,0.5,0.25,0.0,0.5,0.5,0.25,0
463,0.0,0.0,0.0,0.0,0.0,0.0,0
464,1.0,0.75,0.25,0.25,0.0,0.5,0
465,0.25,0.25,0.5,0.25,0.5,0.0,0
466,0.75,0.75,0.75,0.75,0.75,0.75,1
467,0.5,0.5,0.0,0.5,0.25,0.0,0
468,0.75,0.25,0.25,0.25,0.25,0.75,0
469,1.0,1.0,0.0,1.0,0.5,0.0,0
470,0.0,0.0,0.75,0.5,0.5,0.25,0
471,1.0,1.0,1.0,0.75,0.75,0.5,1
472,0.0,0.0,0.75,0.0,0.0,0.25,0
473,0.0,0.0,0.25,0.25,0.0,0.25,0
474,0.25,0.0,0.75,0.0,0.5,0.75,0
475,0.75,0.75,0.5,0.5,0.25,0.5,0
476,0.5,0.5,0.75,0.75,0.25,0.75,1
477,0.25,0.0,0.0,0.5,0.0,0.0,0
478,0.5,0.25,0.5,0.25,0.25,0.5,0
479,1.0,0.75,1.0,0.5,0.5,0.75,1
480,1.0,0.75,0.75,0.75,1.0,1.0,1
481,0.25,0.75,0.75,0.5,0.75,0.5,1
482,0.0,0.0,0.0,0.0,0.0,0.0,0
483,0.5,0.75,0.75,0.5,0.75,0.75,1
484,0.75,0.25,0.25,0.0,0.0,0.0,0
485,0.25,0.0,0.5,0.0,0.75,0.75,0
486,0.5,0.0,0.75,0.0,0.75,0.75,0
487,0.0,0.0,0.5,0.0,0.5,0.25,0
488,0.5,0.5,0.25,0.75,0.0,0.5,0
489,0.25,0.25,0.75,0.0,0.5,0.0,0
490,0.75,0.5,0.5,0.5,0.75,1.0,1
491,0.25,0.0,0.75,0.0,0.25,0.5,0
492,0.0,0.0,0.0,0.25,0.0,0.0,0
493,0.5,0.75,0.75,0.0,0.75,0.75,1
494,1.0,1.0,0.25,0.75,1.0,1.0,1
495,0.75,0.5,0.75,0.5,0.75,0.5,1
496,0.75,0.25,0.75,0.75,0.75,0.5,0
497,1.0,0.5,0.75,0.5,0.25,0.75,0
